Country Name,Bangladesh,Brazil,Canada,China,Colombia,Ethiopia,France,Germany,India,Indonesia,Italy,Japan,Mexico,Nigeria,Pakistan,Philippines,Russia,South Africa,Spain,Thailand,Turkey,Ukraine,United Kingdom,United States,Vietnam
1971,3.440468196,28.38495011,255.2131616,18.43581257,24.96173094,18.85897105,120.0609544,154.4574082,10.60102834,11.7889625,77.28883171,100.3642634,32.10428015,22.96197114,11.31006977,16.49237455, ,79.47736359,49.36366055,14.29848208,21.695026, ,148.0344101,303.125351,11.78627496
1972,3.495240042,29.70011651,272.1534729,18.92098411,24.41587248,18.78642995,125.7284654,159.2979075,10.59948893,11.95379717,81.31710668,105.7553613,34.46568105,23.21350705,11.29999588,16.11990584, ,78.67790038,51.37430373,14.58804852,23.92184818, ,148.6164896,314.8812801,11.61754547
1973,3.72442345,31.78857249,280.923811,19.18065583,24.01763171,18.80318515,134.2443008,168.1295141,10.65079945,12.18059695,86.26772176,117.5385887,36.99960414,23.67643708,11.54307042,17.44682931, ,81.55642437,58.4460551,15.41032727,25.77192123, ,153.877903,323.7081871,11.87466751
1974,3.785014473,33.03843349,281.1369957,19.27782893,24.88080715,18.78667601,129.0030761,164.8863179,10.81380368,12.3089576,87.71976643,115.9539711,38.26283439,23.80707972,11.89117601,17.00674612, ,82.36418941,62.65611881,15.32260141,26.04569991, ,148.0962148,313.6357381,10.88885493
1975,3.807034199,33.68784497,284.3255625,20.91628867,25.43303794,18.71412085,121.2869,158.0146244,10.94046344,12.47977021,83.51151659,108.0596765,39.34431027,24.1265806,12.07656644,17.53561861, ,84.941205,63.75113714,16.24512105,27.01201213, ,140.6008995,303.5908242,11.31939222
1976,3.959707425,34.53204593,289.2141773,21.30037946,25.8627297,18.71978815,128.7816362,171.0844176,11.12049117,12.72557901,89.77577382,114.0726587,40.97849821,24.67732708,11.86029004,17.87559391, ,85.69190581,67.72214284,17.21769651,28.72776125, ,143.4225157,321.2084244,9.942377552
1977,3.953585678,34.85115397,294.6759782,22.88792237,26.04391985,18.71808117,125.8103701,171.9371773,11.17996051,13.79830941,87.4014795,114.9887674,43.16646032,25.23320988,11.9964838,18.12032218, ,85.3413344,65.87008388,17.90764563,30.80075061, ,146.5316108,328.5445011,10.11148672
1978,3.981668375,36.21571301,299.8429135,24.47180183,25.36310251,18.78200403,133.6031133,177.7975729,11.07817994,14.41664351,89.12183608,114.926695,47.05384914,25.61931606,12.11216808,17.92575129, ,87.98292136,69.68534647,18.19583612,29.99570546, ,145.7405969,334.6046957,10.15441438
1979,4.0281486,37.6064228,311.7569941,24.54669614,24.22120625,18.81775369,138.6214287,185.784238,11.32231775,14.73345024,92.78877127,120.7046364,50.35119838,25.91059819,12.40823176,18.4745866, ,88.6118002,70.13730354,18.81140089,27.89752598, ,153.0184641,330.1889268,10.2792872
1980,4.183551722,37.40446495,310.4338495,24.16648843,26.09950768,18.8397337,137.8531572,180.9069372,11.3471424,14.98029453,91.93169064,116.9805626,55.65905674,26.38627516,12.5782329,18.7678353, ,90.78694909,71.59638282,18.41577568,28.35749042, ,139.7218689,314.9310515,10.51316202
1981,4.158036263,35.04819768,299.5851713,23.67842486,25.86357927,18.86951851,133.9927111,174.4516452,11.64762709,15.40075187,89.85007896,113.5796894,58.02027387,26.83545606,13.04316684,18.35714235, ,97.22481369,72.17187671,18.24803841,27.94680063, ,135.4286305,303.2448343,10.40852428
1982,4.279158289,34.80958208,284.4501763,24.06240991,26.0262467,18.81943819,130.0709474,168.8354314,11.81980577,15.42209777,87.49517572,112.637535,59.31065533,27.44698609,13.35921449,18.33229582,  ,102.8665409,69.80444875,18.10370513,29.03462147, ,134.704761,287.8414155,10.53894626
1983,4.269494231,34.86462881,280.6026104,24.66038235,26.30397515,18.83390367,132.7384101,169.2392736,11.92362778,15.35279722,87.38896438,111.9740938,54.57523888,27.51773662,13.62356825,19.40176026, ,101.8917649,70.64002054,16.32780079,30.05478569, ,133.9427419,285.4638305,10.62930161
1984,4.220197402,36.28546155,292.1897816,25.8168206,26.61551918,18.78187009,136.7421168,176.3477065,12.1363434,15.60699962,89.36583472,119.6642455,55.76250588,26.89132253,13.61718603,16.979646, ,107.603531,71.90700993,17.70422041,30.5856883, ,133.6501068,295.1470564,10.50971562
1985,4.347318479,37.91710947,296.1295024,26.08188947,26.46447206,18.77605963,142.6560196,182.3281867,12.48652907,15.8208047,90.59872847,119.1655307,56.68149533,27.09193985,13.87836682,17.36051055, ,104.8380177,73.08742095,18.85451485,31.73316867, ,140.7978404,295.6602756,10.39651144
1986,4.533709282,38.87608879,298.262438,26.61520782,28.22684772,18.84098143,144.0549469,181.9719144,12.64392119,17.10057298,91.6589113,119.773103,53.99577402,26.64286314,14.02315323,16.89803138, ,106.5171638,74.37949851,19.44865698,33.50401478, ,142.6678933,292.4814582,10.64823893
1987,4.347310877,39.58909297,304.1830764,27.53565815,28.59967969,18.94623557,146.8034721,183.0521865,12.84281071,17.31770351,95.45399432,120.7071045,55.64093577,26.85544728,14.92544398,17.19851935, ,107.7956621,76.00483364,21.0989199,36.44852716, ,143.505855,302.2390445,11.01840487
1988,4.655171242,39.35893056,312.6705111,28.5634195,28.88303222,18.93270455,145.3493702,183.5589708,13.25415522,17.45693574,97.65631707,128.5806693,55.21298884,26.93479037,15.18805009,17.71687094, ,109.5908133,81.9112839,23.64352476,36.02080981, ,144.4547265,311.2632229,10.87907777
1989,4.764972924,39.41093694,315.7655362,28.7130926,28.54768016,18.9508475,150.5173131,179.0198193,13.58898846,18.11218764,101.7529132,132.8650386,56.57123653,27.15663385,15.56386299,18.15222688, ,102.5267251,89.97229774,26.03332408,36.74180837, ,143.7921703,312.8704713,10.40542225
1990,4.8955896,37.31175139,302.5530649,30.41336571,29.01555178,18.98974649,152.5287761,175.3186379,13.88141611,21.56209958,102.457903,140.8128284,58.42370419,27.66219122,15.802321,18.39222003,235.0868745,98.005308,91.8939998,29.40659638,38.76689384,192.5762986,142.6324806,304.2058158,10.41987161
1991,4.714626387,37.35426477,298.0817574,29.21809619,28.76217745,18.95900872,160.3194236,170.6208603,14.17052431,22.22879302,104.9078457,141.7678345,60.21205976,28.25946937,15.74591129,17.91433106,232.4102062,99.84994685,95.07562199,31.55715366,37.5809695,192.4144024,147.0299688,302.6076071,10.34104539
1992,4.866443862,37.10478884,301.4266482,29.84368989,28.85131622,18.73608672,156.7865416,166.1834575,14.39700358,22.7830102,104.1808854,144.7298141,59.62475891,28.64511491,16.31059841,18.27836004,212.1841656,90.83091138,96.37069007,33.28529281,38.14307266,166.9224789,146.1089403,304.428994,10.5734273
1993,5.027907659,37.40537817,308.1224381,31.25135992,29.60498582,18.83418722,158.6858354,163.4756412,14.45395092,24.61643956,103.5722349,145.3096953,59.56676899,28.38582073,16.67450615,17.83304904,200.5541257,94.98312289,91.95372516,34.80529534,39.81660484,147.8480434,147.2375045,305.7016519,11.24742882
1994,5.140199382,38.73989228,315.5255478,32.36298775,30.07788145,18.89671471,152.1118622,162.1315125,14.72007588,24.25926866,102.2429026,152.7007071,59.87303032,27.00784483,16.88709815,18.6651789,175.6140369,95.96261354,96.5942451,38.13603725,38.72028598,126.6003536,148.0041994,307.6182303,11.04901266
1995,5.474365299,39.42618467,316.4237909,34.37224429,30.04714136,18.95507994,157.8710133,163.356414,15.26989672,26.3466572,111.0025518,156.07246,57.00645242,27.06959027,17.15119525,19.1045345,170.1372593,99.0876584,100.6015503,41.29071464,41.742236,126.0085914,147.8631169,307.8531436,11.58458524
1996,5.390713767,40.86867634,319.3404946,34.9598707,30.23615575,18.98983533,166.2207157,168.3869122,15.44177735,26.89707168,110.8748297,158.9465399,57.33504201,27.52605603,17.54377571,19.30989483,168.6272437,99.32593374,98.7088418,45.66094364,44.65599978,116.4704542,153.8450949,311.053631,12.04777191
1997,5.513738337,42.27709557,319.4510766,34.56741243,28.83390827,18.94988764,160.5626324,166.6740851,15.75708168,27.40004332,112.3914711,160.2428405,59.3996863,27.75887971,17.50064251,19.8687397,161.3737768,100.239411,104.4707111,45.96421976,46.2439621,112.4630302,149.122056,310.4236633,12.80340078
1998,5.629757453,42.63444924,315.1746874,34.47233672,29.69167542,18.96496012,164.6228488,165.6406097,15.84117085,26.42333446,115.5059622,156.8509547,60.13757103,27.26147521,17.37745617,19.99094561,157.876939,98.00050968,109.2912699,42.58027279,46.38880661,107.3053176,150.1687297,309.4369679,13.47278475
1999,5.590219397,42.95979406,321.4841264,34.83578968,26.12062881,18.94088071,163.5085739,161.7800006,16.45434533,27.29580069,117.2651153,159.0555268,60.96677746,27.54116901,17.84781743,20.07599225,164.0334025,97.71686767,114.1195106,44.93798039,44.85071134,107.815097,150.0484093,314.1764971,13.7035086
2000,5.672456948,42.52264625,327.7319805,35.6471922,25.82826336,18.97350581,163.982477,162.3401737,16.54654149,29.18088694,119.4413898,161.9345805,60.13856817,27.90103055,17.84596877,20.33176055,167.5039675,96.15287984,119.1069864,45.531089,47.6261897,107.8838157,150.1149875,319.47567,14.25920953
2001,6.08905732,42.67713028,319.4552717,36.82979638,25.32209633,19.12863217,168.3651727,166.9293972,16.49605799,29.46072646,119.7755104,158.938284,61.39477408,28.56755076,17.68549912,19.057235,170.0460234,97.58611573,121.3719488,46.42307031,43.387274,109.220084,150.082276,310.3961138,15.05001186
2002,6.122071416,43.23521668,316.9781716,39.05031396,24.45006244,19.13986237,167.5508282,162.9088293,16.70447392,30.14263301,120.4355586,158.2923246,60.8557251,28.74850856,17.45711259,18.91593132,170.0386008,94.53725488,123.2350477,50.91129842,45.17827896,111.5491206,146.1543407,311.0090846,16.26353546
